region,date,C.36*,alpha,beta,delta,gamma,others,sequences,cases
5,2020-12-10,0,0,0,0,0,4,4,1625
5,2020-12-11,0,0,0,0,0,6,6,1595
5,2020-12-12,0,0,0,0,0,32,32,857
5,2020-12-13,0,0,0,0,0,28,28,661
5,2020-12-14,0,0,0,0,0,46,46,2135
5,2020-12-15,0,0,0,0,0,35,35,1803
5,2020-12-16,0,4,0,0,0,80,84,1738
5,2020-12-17,0,0,0,0,0,75,75,1516
5,2020-12-18,0,1,0,0,0,74,75,1563
5,2020-12-19,0,0,0,0,0,84,84,882
5,2020-12-20,0,0,0,0,0,41,41,685
5,2020-12-21,0,0,0,0,0,41,41,2037
5,2020-12-22,0,0,0,0,0,25,25,1635
5,2020-12-23,0,0,0,0,0,88,88,1536
5,2020-12-24,0,1,0,0,0,68,69,968
5,2020-12-25,0,0,0,0,0,36,36,587
5,2020-12-26,0,1,0,0,0,53,54,689
5,2020-12-27,0,0,0,0,0,66,66,674
5,2020-12-28,0,4,0,0,0,92,96,1815
5,2020-12-29,0,1,0,0,0,127,128,1534
5,2020-12-30,0,1,0,0,0,89,90,1339
5,2020-12-31,0,1,0,0,0,65,66,943
5,2021-01-01,0,0,0,0,0,57,57,555
5,2021-01-02,0,0,0,0,0,43,43,815
5,2021-01-03,0,0,0,0,0,61,61,683
5,2021-01-04,0,2,0,0,0,65,67,1815
5,2021-01-05,0,2,0,0,0,78,80,1397
5,2021-01-06,0,0,0,0,0,14,14,1098
5,2021-01-07,0,3,0,0,0,43,46,945
5,2021-01-08,0,2,0,0,0,79,81,1000
5,2021-01-09,0,0,0,0,0,18,18,423
5,2021-01-10,0,0,0,0,0,40,40,344
5,2021-01-11,0,1,1,0,0,44,46,1077
5,2021-01-12,0,2,0,0,0,39,41,803
5,2021-01-13,0,0,0,0,0,35,35,725
5,2021-01-14,0,2,0,0,0,25,27,602
5,2021-01-15,0,1,0,0,0,41,42,581
5,2021-01-16,0,0,0,0,0,38,38,339
5,2021-01-17,0,0,0,0,0,35,35,206
5,2021-01-18,0,1,1,0,0,70,72,921
5,2021-01-19,0,4,1,0,0,49,54,699
5,2021-01-20,0,6,0,0,0,55,61,678
5,2021-01-21,0,3,0,0,0,63,66,644
5,2021-01-22,0,6,0,0,0,72,78,623
5,2021-01-23,0,6,0,0,0,43,49,312
5,2021-01-24,0,2,0,0,0,23,25,167
5,2021-01-25,0,6,0,0,0,72,78,754
5,2021-01-26,0,9,0,0,0,45,54,536
5,2021-01-27,0,10,0,0,1,55,66,572
5,2021-01-28,0,3,0,0,0,23,26,463
5,2021-01-29,0,4,2,0,0,25,31,497
5,2021-01-30,0,11,2,0,0,20,33,286
5,2021-01-31,0,6,0,0,0,23,29,159
5,2021-02-01,0,14,0,0,0,40,54,602
5,2021-02-02,0,8,0,0,0,40,48,435
5,2021-02-03,0,9,1,0,0,27,37,443
5,2021-02-04,0,5,0,0,0,14,19,352
5,2021-02-05,0,5,0,0,0,34,39,366
5,2021-02-06,0,2,0,0,0,14,16,227
5,2021-02-07,0,5,0,0,0,16,21,164
5,2021-02-08,0,10,0,0,0,17,27,496
5,2021-02-09,0,4,0,0,0,18,22,359
5,2021-02-10,0,5,0,0,0,6,11,335
5,2021-02-11,0,6,0,0,0,11,17,259
5,2021-02-12,1,4,0,0,0,8,13,277
5,2021-02-13,0,6,0,0,0,10,16,167
5,2021-02-14,0,1,0,0,2,1,4,103
5,2021-02-15,0,4,0,0,0,8,12,355
5,2021-02-16,0,8,0,0,0,7,15,285
5,2021-02-17,0,5,0,0,0,20,25,341
5,2021-02-18,2,3,0,0,0,3,8,260
5,2021-02-19,3,9,0,0,0,6,18,248
5,2021-02-20,0,8,0,0,0,5,13,170
5,2021-02-21,0,9,0,0,0,0,9,97
5,2021-02-22,0,21,0,0,0,6,27,331
5,2021-02-23,0,14,2,0,0,3,19,301
5,2021-02-24,0,13,1,0,0,3,17,254
5,2021-02-25,0,2,1,0,0,2,5,236
5,2021-02-26,0,8,0,0,0,1,9,232
5,2021-02-27,0,2,0,0,0,0,2,138
5,2021-02-28,0,1,0,0,0,0,1,108
5,2021-03-01,1,12,1,0,0,6,20,347
5,2021-03-02,1,16,1,0,0,0,18,303
5,2021-03-03,0,13,0,0,0,3,16,331
5,2021-03-04,0,15,0,0,0,2,17,266
5,2021-03-05,0,13,1,0,0,3,17,335
5,2021-03-06,0,20,0,0,0,4,24,185
5,2021-03-07,0,3,0,0,0,0,3,157
5,2021-03-08,0,45,3,0,0,8,56,464
5,2021-03-09,0,16,1,0,0,2,19,348
5,2021-03-10,0,18,4,0,2,7,31,344
5,2021-03-11,0,22,0,0,0,4,26,320
5,2021-03-12,0,23,0,0,0,3,26,319
5,2021-03-13,0,29,1,0,0,0,30,234
5,2021-03-14,0,15,0,0,0,0,15,175
5,2021-03-15,0,31,0,0,0,2,33,543
5,2021-03-16,0,21,0,0,0,2,23,440
5,2021-03-17,0,35,0,0,0,3,38,450
5,2021-03-18,0,23,1,0,0,1,25,435
5,2021-03-19,0,26,0,0,0,3,29,429
5,2021-03-20,0,10,0,0,0,0,10,251
5,2021-03-21,0,23,0,0,0,0,23,207
5,2021-03-22,0,21,1,0,0,3,25,663
5,2021-03-23,0,19,0,0,0,1,20,572
5,2021-03-24,0,14,0,0,0,1,15,568
5,2021-03-25,0,19,0,0,0,1,20,573
5,2021-03-26,0,17,0,0,0,0,17,610
5,2021-03-27,0,2,0,0,0,0,2,342
5,2021-03-28,0,0,0,0,0,0,0,265
5,2021-03-29,0,24,0,0,0,3,27,753
5,2021-03-30,0,11,0,0,0,0,11,601
5,2021-03-31,0,24,0,0,1,0,25,617
5,2021-04-01,0,26,0,0,0,3,29,523
5,2021-04-02,0,18,0,0,0,1,19,326
5,2021-04-03,0,41,0,0,0,0,41,367
5,2021-04-04,0,17,0,0,0,1,18,309
5,2021-04-05,0,9,0,0,0,0,9,394
5,2021-04-06,0,51,0,0,0,2,53,834
5,2021-04-07,0,67,2,0,1,0,70,731
5,2021-04-08,0,56,2,0,0,1,59,715
5,2021-04-09,0,55,2,0,0,2,59,773
5,2021-04-10,0,69,0,0,1,0,70,479
5,2021-04-11,0,9,0,0,0,0,9,333
5,2021-04-12,0,89,1,0,0,1,91,818
5,2021-04-13,0,56,0,0,1,3,60,735
