,date,division,pangolinLineage,submittingLab,count
25247,2021-10-05,Bern,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
25248,2020-12-27,Schaffhausen,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",2
25249,2021-02-24,Zürich,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",8
25250,2021-01-27,Geneva,B.1.480,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25251,2021-03-06,Vaud,B.1.214.2,"Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland",1
25252,2021-01-06,Thurgau,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",2
25253,2020-10-22,Basel-Land,B.1.1.39,"University Hospital Basel, Clinical Bacteriology",1
25254,2021-08-19,Sankt Gallen,AY.4,"Microbiology, Dr. Risch",1
25255,2021-07-27,Schwyz,B.1.617.2,Institute of Medical Virology,1
25256,2021-07-12,Ticino,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25257,2021-08-05,Thurgau,B.1.617.2,Institute of Medical Virology,2
25258,2021-09-25,Basel-Land,AY.23,"Department of Biosystems Science and Engineering, ETH Zürich",1
25259,2020-12-24,Aargau,B.1.258,"Department of Biosystems Science and Engineering, ETH Zürich",1
25260,2021-10-12,Schwyz,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
25261,2021-02-24,Aargau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",4
25262,2021-03-15,Basel-Stadt,B.1.1.7,Clinical Bacteriology,5
25263,2021-10-06,Aargau,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",1
25264,2021-09-21,Bern,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",2
25265,2021-02-23,Vaud,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",7
25266,2021-09-11,Bern,AY.4,"Institute for Infectious Diseases, University of Bern",6
25267,2021-02-05,Fribourg,B.1.1.7,Clinical Bacteriology,15
25268,2020-07-28,Bern,B.1.1.47,"Department of Biosystems Science and Engineering, ETH Zürich",2
25269,2021-08-23,Aargau,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
25270,2021-06-14,Thurgau,B.1.1.7,Institute of Medical Virology,1
25271,2021-06-28,Aargau,AY.39,"Microbiology, Dr. Risch",1
25272,2021-05-08,Ticino,B.1.1.7,,7
25273,2021-07-14,Sankt Gallen,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",2
25274,2021-03-01,Sankt Gallen,B.1.351,Center for Laboratory Medicine St. Gallen,1
25275,2021-01-26,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",14
25276,2021-06-08,Sankt Gallen,P.1.16,Center for Laboratory Medicine,2
25277,2020-10-07,Bern,B.1.233,"Department of Biosystems Science and Engineering, ETH Zürich",1
25278,2021-08-07,Aargau,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",4
25279,2021-09-21,Aargau,AY.4.3,"Department of Biosystems Science and Engineering, ETH Zürich",1
25280,2021-02-22,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",16
25281,2021-10-13,Vaud,AY.4,Laboratory of genomics and metagenomics,1
25282,2021-02-13,,B.1.1,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25283,2020-11-10,Vaud,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",1
25284,2021-04-22,Vaud,B.1.160,Viollier AG,1
25285,2021-01-30,Basel-Land,B.1.177,"University Hospital Basel, Clinical Bacteriology",2
25286,2021-05-16,Basel-Land,B.1.1.7,Viollier AG,2
25287,2021-04-20,Bern,B.1.351,"Microbiology, Dr. Risch",1
25288,2021-09-24,Bern,AY.5,"Institute for Infectious Diseases, University of Bern",1
25289,2021-01-18,Bern,B.1.1.519,"Department of Biosystems Science and Engineering, ETH Zürich",1
25290,2021-08-04,Lucerne,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25291,2021-05-03,Solothurn,B.1.526,"Department of Biosystems Science and Engineering, ETH Zürich",1
25292,2021-10-03,Basel-Land,AY.36,"Department of Biosystems Science and Engineering, ETH Zürich",2
25293,2021-05-10,Valais,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",4
25294,2021-08-02,Solothurn,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",1
25295,2020-12-26,Bern,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
25296,2021-03-01,Vaud,B.1.525,"Department of Biosystems Science and Engineering, ETH Zürich",1
25297,2021-04-24,Aargau,B.1.1.7,Institute of Medical Virology,1
25298,2021-08-14,Basel-Land,AY.7.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25299,2021-10-07,Appenzell Ausserrhoden,AY.7.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25300,2020-12-25,Zürich,B.1.160.9,"Department of Biosystems Science and Engineering, ETH Zürich",1
25301,2021-02-19,Solothurn,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",8
25302,2021-03-01,Zürich,B.1.177.75,"Department of Biosystems Science and Engineering, ETH Zürich",2
25303,2021-04-09,Zürich,B.1.351,Institute of Medical Virology,1
25304,2021-06-14,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",3
25305,2021-10-01,Schwyz,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",9
25306,2021-08-18,Bern,AY.41,Institute for Infectious Diseases,1
25307,2021-02-06,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",28
25308,2020-11-09,Vaud,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",1
25309,2021-08-15,Valais,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",1
25310,2021-07-13,Ticino,AY.34,Laboratorio di Microbiologia,1
25311,2021-10-18,Bern,AY.7.1,Microbiology,1
25312,2020-11-23,Aargau,B.1.160.16,Swiss National Reference Centre for Influenza,1
25313,2021-06-29,Graubünden,AY.39,"Microbiology, Dr. Risch",1
25314,2021-07-13,Zürich,AY.33,"Department of Biosystems Science and Engineering, ETH Zürich",1
25315,2021-08-05,Graubünden,AY.6,"Microbiology, Dr. Risch",1
25316,2021-03-08,Thurgau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",6
25317,2021-09-23,Lucerne,AY.23,Clinical Bacteriology,1
25318,2021-09-09,Vaud,AY.4,Genesupport,5
25319,2020-07-07,Basel-Stadt,B.1.1.70,"Department of Biosystems Science and Engineering, ETH Zürich",1
25320,2021-01-30,Geneva,B.1.1.384,"HUG, Laboratory of Virology and the Health2030 Genome Center",2
25321,2020-12-22,Zürich,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",2
25322,2021-01-15,Bern,B.1.160.14,"Department of Biosystems Science and Engineering, ETH Zürich",1
25323,2021-02-14,Valais,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
25324,2020-12-24,Neuchâtel,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
25325,2021-10-09,Zürich,B.1.617.2,Institute of Medical Virology,8
25326,2021-03-24,Neuchâtel,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25327,2021-09-25,Ticino,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25328,2021-10-04,Basel-Land,AY.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
25329,2020-12-15,Basel-Land,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",3
25330,2021-05-13,Basel-Land,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",10
25331,2020-12-23,Zürich,B.1.258.17,"Department of Biosystems Science and Engineering, ETH Zürich",4
25332,2020-11-26,Valais,B.1.160.10,"Department of Biosystems Science and Engineering, ETH Zürich",1
25333,2021-07-30,Zürich,AY.11,"Department of Biosystems Science and Engineering, ETH Zürich",1
25334,2021-03-09,Aargau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",18
25335,2020-10-25,Basel-Stadt,B.1.177.44,"University Hospital Basel, Clinical Bacteriology",1
25336,2021-07-21,Valais,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
25337,2021-08-05,Sankt Gallen,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25338,2021-08-25,Thurgau,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25339,2021-01-27,Basel-Land,B.1.177.44,"University Hospital Basel, Clinical Bacteriology",2
25340,2021-02-26,Neuchâtel,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25341,2021-01-22,Solothurn,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",3
25342,2021-07-20,Ticino,AY.4,Synlab Bioggio,1
25343,2021-08-12,Valais,B.1.617.2,"Valais Hospital, Central Institute",6
25344,2021-08-23,Geneva,AY.4,"HUG, Laboratory of Virology and the Health2030 Genome Center",16
25345,2020-11-09,Bern,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",2
25346,2021-08-25,Appenzell Ausserrhoden,AY.5,"Department of Biosystems Science and Engineering, ETH Zürich",1
25347,2020-12-09,Basel-Stadt,B.1.160.16,"University Hospital Basel, Clinical Bacteriology",1
25348,2021-03-15,Vaud,B.1.1.7,"Laboratory of genomics and metagenomics, Institute of Microbiology, University Hospital Centre and University of Lausanne, Switzerland",7
25349,2020-12-15,Basel-Land,B.1.177.23,"Department of Biosystems Science and Engineering, ETH Zürich",1
25350,2020-11-01,Aargau,B.1.177,"University Hospital Basel, Clinical Bacteriology",1
25351,2020-10-27,Basel-Stadt,B.1.177.43,"University Hospital Basel, Clinical Bacteriology",1
25352,2021-08-07,Zürich,B.1.621.1,Institute of Medical Virology,1
25353,2021-02-28,Geneva,B.1.1.7,"HUG, Laboratory of Virology and the Health2030 Genome Center",26
25354,2021-01-01,Geneva,B.1.160.15,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25355,2021-05-31,Vaud,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25356,2021-05-26,Geneva,C.36.3,Genesupport,2
25357,2021-01-31,Aargau,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",2
25358,2021-05-27,Solothurn,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25359,2021-01-16,Basel-Land,B.1.160.26,"University Hospital Basel, Clinical Bacteriology",1
25360,2021-01-09,Bern,B.1.1.7,Clinical Bacteriology,3
25361,2021-10-11,Ticino,B.1.617.2,Laboratorio di Microbiologia,2
25362,2021-03-22,Lucerne,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25363,2021-08-27,Lucerne,B.1.617.2,Genesupport,1
25364,2021-09-07,Zürich,B.1.617.2,Institute of Medical Virology,10
25365,2021-02-28,Graubünden,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
